,stat,precision,recall,f1-score,support,model_accuracy,model
2,accuracy,0.770833333,0.770833333,0.770833333,0.770833333,0.770833333,sp_085_thresh_merge_70
3,macro avg,0.830386513,0.775696425,0.762049684,432,0.770833333,sp_085_thresh_merge_70
4,weighted avg,0.833770217,0.770833333,0.760991413,432,0.770833333,sp_085_thresh_merge_70
0,0,0.627627628,0.990521327,0.768382353,211,0.708333333,sp_085_thresh_merge_75
1,1,0.97979798,0.438914027,0.60625,221,0.708333333,sp_085_thresh_merge_75
2,accuracy,0.708333333,0.708333333,0.708333333,0.708333333,0.708333333,sp_085_thresh_merge_75
3,macro avg,0.803712804,0.714717677,0.687316176,432,0.708333333,sp_085_thresh_merge_75
4,weighted avg,0.807788849,0.708333333,0.685439645,432,0.708333333,sp_085_thresh_merge_75
0,0,0.54973822,0.995260664,0.708263069,211,0.599537037,sp_085_thresh_merge_80
1,1,0.98,0.221719457,0.361623616,221,0.599537037,sp_085_thresh_merge_80
2,accuracy,0.599537037,0.599537037,0.599537037,0.599537037,0.599537037,sp_085_thresh_merge_80
3,macro avg,0.76486911,0.60849006,0.534943343,432,0.599537037,sp_085_thresh_merge_80
4,weighted avg,0.769848992,0.599537037,0.530931312,432,0.599537037,sp_085_thresh_merge_80
0,0,0.506024096,0.995260664,0.670926518,211,0.523148148,sp_085_thresh_merge_85
1,1,0.941176471,0.07239819,0.134453782,221,0.523148148,sp_085_thresh_merge_85
2,accuracy,0.523148148,0.523148148,0.523148148,0.523148148,0.523148148,sp_085_thresh_merge_85
3,macro avg,0.723600283,0.533829427,0.40269015,432,0.523148148,sp_085_thresh_merge_85
4,weighted avg,0.728636769,0.523148148,0.396480974,432,0.523148148,sp_085_thresh_merge_85
0,0,0.490697674,1,0.658346334,211,0.493055556,sp_085_thresh_merge_90
1,1,1,0.009049774,0.01793722,221,0.493055556,sp_085_thresh_merge_90
2,accuracy,0.493055556,0.493055556,0.493055556,0.493055556,0.493055556,sp_085_thresh_merge_90
3,macro avg,0.745348837,0.504524887,0.338141777,432,0.493055556,sp_085_thresh_merge_90
4,weighted avg,0.75124354,0.493055556,0.330729634,432,0.493055556,sp_085_thresh_merge_90
